035760.KQ,CJ오쇼핑,텔레비전 방송업
078860.KQ,아이오케이,소프트웨어 개발 및 공급업
031310.KQ,아이즈비전,무점포 소매업
032080.KQ,아즈텍WB,"섬유제품 염색, 정리 및 마무리 가공업"
196170.KQ,알테오젠,자연과학 및 공학 연구개발업
238090.KQ,앤디포스,플라스틱제품 제조업
050320.KQ,에스아이티글로벌,기계장비 및 관련 물품 도매업
226340.KQ,에이치엠씨3호스팩,금융 지원 서비스업
173940.KQ,에프엔씨엔터,오디오물 출판 및 원판 녹음업
217820.KQ,엔에스,특수 목적용 기계 제조업
097520.KQ,엠씨넥스,영상 및 음향기기 제조업
009780.KQ,엠에스씨,기타 식품 제조업
900300.KQ,오가닉티코스메틱,기타 금융업
046120.KQ,오르비텍,기타 과학기술 서비스업
039200.KQ,오스코텍,의약품 제조업
031510.KQ,오스템,자동차 신품 부품 제조업
057540.KQ,옴니시스템,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
082210.KQ,옵트론텍,사진장비 및 광학기기 제조업
109080.KQ,옵티시스,통신 및 방송 장비 제조업
232140.KQ,와이아이케이,특수 목적용 기계 제조업
193250.KQ,와이제이엠게임즈,전자부품 제조업
046970.KQ,우리로,통신 및 방송 장비 제조업
101170.KQ,우림기계,일반 목적용 기계 제조업
018620.KQ,우진비앤지,의약품 제조업
014190.KQ,원익큐브,기타 전문 도매업
095270.KQ,웨이브일렉트로,통신 및 방송 장비 제조업
076080.KQ,웰크론한텍,특수 목적용 기계 제조업
044340.KQ,위닉스,가정용 기기 제조업
142210.KQ,유니트론텍,기계장비 및 관련 물품 도매업
221200.KQ,유진스팩3호,금융 지원 서비스업
191410.KQ,육일씨엔에쓰,전자부품 제조업
033110.KQ,이디,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
041520.KQ,이라이콤,전자부품 제조업
036260.KQ,이매진아시아,"영화, 비디오물, 방송프로그램 제작 및 배급업"
080010.KQ,이상네트웍스,상품 중개업
900110.KQ,이스트아시아홀딩스,기타 금융업
083640.KQ,인콘,통신 및 방송 장비 제조업
065530.KQ,전파기지국,전기 통신업
054950.KQ,제이브이엠,일반 목적용 기계 제조업
023440.KQ,제일제강,1차 철강 제조업
041590.KQ,젬백스테크놀러지,전자부품 제조업
101730.KQ,조이맥스,소프트웨어 개발 및 공급업
036930.KQ,주성엔지니어링,특수 목적용 기계 제조업
053050.KQ,지에스이,연료용 가스 제조 및 배관공급업
115450.KQ,지트리비앤티,전자부품 제조업
018120.KQ,진로발효,알코올음료 제조업
016920.KQ,카스,기계장비 및 관련 물품 도매업
078340.KQ,컴투스,소프트웨어 개발 및 공급업
221980.KQ,케이디켐,기타 화학제품 제조업
232270.KQ,케이비제9호스팩,금융 지원 서비스업
123410.KQ,코리아에프티,자동차 신품 부품 제조업
049430.KQ,코메론,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
040350.KQ,큐로컴,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
115180.KQ,큐리언트,자연과학 및 공학 연구개발업
219130.KQ,타이거일렉,전자부품 제조업
053620.KQ,태양,기타 금속 가공제품 제조업
038540.KQ,텍셀네트컴,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
051360.KQ,토비스,영상 및 음향기기 제조업
043200.KQ,파루,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
170790.KQ,파이오링크,통신 및 방송 장비 제조업
106240.KQ,파인테크닉스,통신 및 방송 장비 제조업
054300.KQ,팬스타엔터프라이즈,일반 목적용 기계 제조업
263750.KQ,펄어비스,소프트웨어 개발 및 공급업
043370.KQ,평화정공,자동차 신품 부품 제조업
016670.KQ,포비스티앤씨,기타 전문 도매업
035200.KQ,프럼파스트,플라스틱제품 제조업
031980.KQ,피에스케이,특수 목적용 기계 제조업
221840.KQ,하이즈항공,"항공기,우주선 및 부품 제조업"
240540.KQ,한국4호스팩,금융 지원 서비스업
025770.KQ,한국정보통신,전기 통신업
281410.KQ,한국제6호스팩,금융 지원 서비스업
052600.KQ,한네트,전기 통신업
070590.KQ,한솔인티큐브,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
054920.KQ,한컴시큐어,소프트웨어 개발 및 공급업
900270.KQ,헝셩그룹,기타 금융업
170030.KQ,현대공업,자동차 신품 부품 제조업
048410.KQ,현대아이비티,컴퓨터 및 주변장치 제조업
024060.KQ,흥구석유,기타 전문 도매업
060720.KQ,KH바텍,전자부품 제조업
024940.KQ,PN풍년,기타 금속 가공제품 제조업
038340.KQ,UCI,일차전지 및 축전지 제조업
053950.KQ,경남제약,의약품 제조업
011040.KQ,경동제약,의약품 제조업
098460.KQ,고영,특수 목적용 기계 제조업
026910.KQ,광진실업,1차 철강 제조업
090150.KQ,광진윈텍,자동차 신품 부품 제조업
066620.KQ,국보디자인,실내건축 및 건축마무리 공사업
078130.KQ,국일제지,기타 종이 및 판지 제품 제조업
204620.KQ,글로벌텍스프리,금융 지원 서비스업
036190.KQ,금화피에스시,전기 및 통신 공사업
190510.KQ,나무가,전자부품 제조업
217270.KQ,넵튠,소프트웨어 개발 및 공급업
054050.KQ,농우바이오,작물 재배업
085670.KQ,뉴프렉스,전자부품 제조업
093640.KQ,다믈멀티미디어,반도체 제조업
048910.KQ,대원미디어,"영화, 비디오물, 방송프로그램 제작 및 배급업"
096350.KQ,대창솔루션,"구조용 금속제품, 탱크 및 증기발생기 제조업"
054670.KQ,대한뉴팜,의약품 제조업
100130.KQ,동국S&C,"구조용 금속제품, 탱크 및 증기발생기 제조업"
104460.KQ,동양피엔에프,일반 목적용 기계 제조업
109860.KQ,동일금속,금속 주조업
092070.KQ,디엔에프,기타 화학제품 제조업
101000.KQ,디엠씨,특수 목적용 기계 제조업
131180.KQ,딜리,컴퓨터 및 주변장치 제조업
082800.KQ,루미마이크로,반도체 제조업
147760.KQ,마이크로프랜드,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
127160.KQ,매직마이크로,전자부품 제조업
141070.KQ,맥스로텍,특수 목적용 기계 제조업
215200.KQ,메가스터디교육,일반 교습 학원
080420.KQ,모다이노칩,전자부품 제조업
101330.KQ,모베이스,통신 및 방송 장비 제조업
265480.KQ,미래에셋대우스팩1호,금융 지원 서비스업
059090.KQ,미코,반도체 제조업
250000.KQ,보라티알,음·식료품 및 담배 도매업
014100.KQ,보령메디앙스,기타 화학제품 제조업
082920.KQ,비츠로셀,일차전지 및 축전지 제조업
014970.KQ,삼륭물산,"골판지, 종이 상자 및 종이용기 제조업"
111870.KQ,삼본정밀전자,영상 및 음향기기 제조업
065570.KQ,삼영이엔씨,통신 및 방송 장비 제조업
002290.KQ,삼일기업공사,건물 건설업
037460.KQ,삼지전자,통신 및 방송 장비 제조업
006730.KQ,서부T&D,상품 종합 도매업
046890.KQ,서울반도체,반도체 제조업
036630.KQ,세종텔레콤,전기 통신업
131090.KQ,시큐브,소프트웨어 개발 및 공급업
010280.KQ,쌍용정보통신,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
101240.KQ,씨큐브,기초 화학물질 제조업
074430.KQ,아미노로직스,기타 전문 도매업
092040.KQ,아미코젠,기타 식품 제조업
038880.KQ,아이에이,전자부품 제조업
059120.KQ,아진엑스텍,반도체 제조업
067160.KQ,아프리카TV,소프트웨어 개발 및 공급업
131370.KQ,알서포트,소프트웨어 개발 및 공급업
140670.KQ,알에스오토메이션,전자부품 제조업
085810.KQ,알티캐스트,소프트웨어 개발 및 공급업
117670.KQ,알파홀딩스,반도체 제조업
205500.KQ,액션스퀘어,소프트웨어 개발 및 공급업
102120.KQ,어보브반도체,반도체 제조업
025980.KQ,에머슨퍼시픽,스포츠 서비스업
038680.KQ,에스넷,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
121890.KQ,에스디시스템,전자부품 제조업
031330.KQ,에스에이엠티,기계장비 및 관련 물품 도매업
112240.KQ,에스에프씨,플라스틱제품 제조업
263920.KQ,에스엔피월드,그외 기타 제품 제조업
080440.KQ,에스제이케이,자동차 신품 부품 제조업
039440.KQ,에스티아이,특수 목적용 기계 제조업
098660.KQ,에스티오,봉제의복 제조업
050760.KQ,에스폴리텍,플라스틱제품 제조업
045660.KQ,에이텍,컴퓨터 및 주변장치 제조업
224110.KQ,에이텍티앤,통신 및 방송 장비 제조업
073570.KQ,에이티테크놀러지,특수 목적용 기계 제조업
043580.KQ,에임하이,전자부품 제조업
256630.KQ,엔에이치스팩10호,금융 지원 서비스업
037950.KQ,엘컴텍,전자부품 제조업
019590.KQ,엠벤처투자,신탁업 및 집합투자업
032790.KQ,엠젠플러스,기계장비 및 관련 물품 도매업
036180.KQ,영인프런티어,기계장비 및 관련 물품 도매업
265560.KQ,영화테크,자동차 신품 부품 제조업
039830.KQ,오로라,전문디자인업
049480.KQ,오픈베이스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
057680.KQ,옴니텔,소프트웨어 개발 및 공급업
123010.KQ,옵토팩,전자부품 제조업
067900.KQ,와이엔텍,폐기물 처리업
066430.KQ,와이오엠,기타 전문 도매업
041190.KQ,우리기술투자,기타 금융업
215380.KQ,우정비에스씨,자연과학 및 공학 연구개발업
065950.KQ,웰크론,직물직조 및 직물제품 제조업
038620.KQ,위즈코프,연료 소매업
195990.KQ,유지인트,특수 목적용 기계 제조업
179900.KQ,유티아이,전자부품 제조업
115610.KQ,이미지스,반도체 제조업
123570.KQ,이엠넷,광고업
181340.KQ,이즈미디어,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
035810.KQ,이지바이오,동물용 사료 및 조제식품 제조업
092130.KQ,이크레더블,기타 정보 서비스업
079950.KQ,인베니아,특수 목적용 기계 제조업
158310.KQ,인터불스,특수 목적용 기계 제조업
051370.KQ,인터플렉스,전자부품 제조업
150840.KQ,인트로메딕,의료용 기기 제조업
094820.KQ,일진파워,전기 및 통신 공사업
065620.KQ,제낙스,1차 철강 제조업
187420.KQ,제노포커스,기초 의약물질 및 생물학적 제제 제조업
159580.KQ,제로투세븐,생활용품 도매업
079370.KQ,제우스,특수 목적용 기계 제조업
096690.KQ,제이스테판,컴퓨터 및 주변장치 제조업
089790.KQ,제이티,특수 목적용 기계 제조업
052670.KQ,제일바이오,의약품 제조업
034940.KQ,조아제약,의약품 제조업
033340.KQ,좋은사람들,봉제의복 제조업
086060.KQ,진바이오텍,동물용 사료 및 조제식품 제조업
007370.KQ,진양제약,의약품 제조업
085660.KQ,차바이오텍,기초 의약물질 및 생물학적 제제 제조업
094850.KQ,참좋은여행,여행사 및 기타 여행보조 서비스업
221950.KQ,케이비드림3호스팩,금융 지원 서비스업
192250.KQ,케이사인,소프트웨어 개발 및 공급업
115500.KQ,케이씨에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
089150.KQ,케이씨티,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
042040.KQ,케이피엠테크,기타 화학제품 제조업
224060.KQ,코디엠,특수 목적용 기계 제조업
009730.KQ,코센,1차 철강 제조업
126600.KQ,코프라,합성고무 및 플라스틱 물질 제조업
016600.KQ,큐캐피탈,기타 금융업
045520.KQ,크린앤사이언스,"펄프, 종이 및 판지 제조업"
095610.KQ,테스,특수 목적용 기계 제조업
089030.KQ,테크윙,특수 목적용 기계 제조업
950160.KQ,티슈진,기초 의약물질 및 생물학적 제제 제조업
081150.KQ,티플랙스,기타 금속 가공제품 제조업
037070.KQ,파세코,가정용 기기 제조업
131760.KQ,파인텍,전자부품 제조업
091700.KQ,파트론,전자부품 제조업
068050.KQ,팬엔터테인먼트,"영화, 비디오물, 방송프로그램 제작 및 배급업"
009520.KQ,포스코엠텍,1차 철강 제조업
220100.KQ,퓨쳐켐,의약품 제조업
053160.KQ,프리엠스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
023770.KQ,플레이위드,소프트웨어 개발 및 공급업
261200.KQ,하나금융9호스팩,금융 지원 서비스업
024660.KQ,하림홀딩스,기타 금융업
004590.KQ,한국가구,생활용품 도매업
034950.KQ,한국기업평가,기타 사업지원 서비스업
017890.KQ,한국알콜,기타 화학제품 제조업
053300.KQ,한국정보인증,소프트웨어 개발 및 공급업
221610.KQ,한솔씨앤피,기타 화학제품 제조업
078350.KQ,한양디지텍,반도체 제조업
045100.KQ,한양이엔지,"건축기술, 엔지니어링 및 관련 기술 서비스업"
123840.KQ,한일진공,특수 목적용 기계 제조업
076610.KQ,해성옵틱스,사진장비 및 광학기기 제조업
220180.KQ,핸디소프트,소프트웨어 개발 및 공급업
039010.KQ,현대통신,통신 및 방송 장비 제조업
053660.KQ,현진소재,기타 금속 가공제품 제조업
060560.KQ,홈센타홀딩스,기타 금융업
238490.KQ,힘스,특수 목적용 기계 제조업
054620.KQ,APS홀딩스,기타 금융업
068790.KQ,DMS,특수 목적용 기계 제조업
264850.KQ,IBKS제6호스팩,금융 지원 서비스업
067290.KQ,JW신약,의약품 제조업
046440.KQ,KG모빌리언스,소프트웨어 개발 및 공급업
058400.KQ,KNN,텔레비전 방송업
094480.KQ,갤럭시아컴즈,소프트웨어 개발 및 공급업
900280.KQ,골든센츄리,기타 금융업
121440.KQ,골프존뉴딘,기타 금융업
187790.KQ,나노,기초 화학물질 제조업
130580.KQ,나이스디앤비,기타 사업지원 서비스업
168330.KQ,내츄럴엔도텍,자연과학 및 공학 연구개발업
040160.KQ,누리텔레콤,소프트웨어 개발 및 공급업
007720.KQ,대명코퍼레이션,상품 종합 도매업
108380.KQ,대양전기공업,선박 및 보트 건조업
131220.KQ,대한과학,기계장비 및 관련 물품 도매업
010170.KQ,대한광통신,절연선 및 케이블 제조업
017680.KQ,데코앤이,봉제의복 제조업
075970.KQ,동국알앤에스,기타 비금속 광물제품 제조업
226440.KQ,동부스팩3호,금융 지원 서비스업
032960.KQ,동일기연,전자부품 제조업
068930.KQ,디지털대성,일반 교습 학원
238120.KQ,로고스바이오,사진장비 및 광학기기 제조업
012700.KQ,리드코프,기타 전문 도매업
072870.KQ,메가스터디,"서적, 잡지 및 기타 인쇄물 출판업"
133750.KQ,메가엠디,일반 교습 학원
140410.KQ,메지온,자연과학 및 공학 연구개발업
059210.KQ,메타바이오메드,의료용품 및 기타 의약 관련제품 제조업
080160.KQ,모두투어,여행사 및 기타 여행보조 서비스업
100030.KQ,모바일리더,소프트웨어 개발 및 공급업
250060.KQ,모비스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
033200.KQ,모아텍,전자부품 제조업
006920.KQ,모헨즈,"시멘트, 석회, 플라스터 및 그 제품 제조업"
001810.KQ,무림SP,"펄프, 종이 및 판지 제조업"
049950.KQ,미래컴퍼니,특수 목적용 기계 제조업
214180.KQ,민앤지,기타 정보 서비스업
029480.KQ,바른테크놀로지,통신 및 방송 장비 제조업
044480.KQ,바이오제네틱스,고무제품 제조업
046310.KQ,백금T&A,통신 및 방송 장비 제조업
225530.KQ,보광산업,토사석 광업
100120.KQ,뷰웍스,의료용 기기 제조업
086670.KQ,비엠티,일반 목적용 기계 제조업
065450.KQ,빅텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
123260.KQ,사파이어테크놀로지,반도체 제조업
009620.KQ,삼보산업,1차 비철금속 제조업
038500.KQ,삼표시멘트,기타 비금속 광물제품 제조업
089980.KQ,상아프론테크,플라스틱제품 제조업
042940.KQ,상지카일룸,전기 및 통신 공사업
003100.KQ,선광,기타 운송관련 서비스업
045300.KQ,성우테크론,전자부품 제조업
080470.KQ,성창오토텍,자동차 신품 부품 제조업
049180.KQ,셀루메드,기초 의약물질 및 생물학적 제제 제조업
154040.KQ,솔루에타,전자부품 제조업
084180.KQ,수성,일반 목적용 기계 제조업
094840.KQ,슈프리마에이치큐,기타 금융업
049830.KQ,승일,기타 금속 가공제품 제조업
033170.KQ,시그네틱스,반도체 제조업
002800.KQ,신신제약,의약품 제조업
138070.KQ,신진에스엠,기타 금속 가공제품 제조업
243840.KQ,신흥에스이씨,일차전지 및 축전지 제조업
108320.KQ,실리콘웍스,반도체 제조업
115530.KQ,씨엔플러스,전자부품 제조업
096530.KQ,씨젠,의료용품 및 기타 의약 관련제품 제조업
050860.KQ,아세아텍,특수 목적용 기계 제조업
139050.KQ,아이지스시스템,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
065660.KQ,안트로젠,기초 의약물질 및 생물학적 제제 제조업
061040.KQ,알에프텍,통신 및 방송 장비 제조업
131400.KQ,액트,전자부품 제조업
041510.KQ,에스엠,오디오물 출판 및 원판 녹음업
237690.KQ,에스티팜,의약품 제조업
138360.KQ,에이씨티,기타 화학제품 제조업
176440.KQ,에이치엔티,전자부품 제조업
028300.KQ,에이치엘비,선박 및 보트 건조업
031860.KQ,엔에스엔,상품 종합 도매업
123040.KQ,엠에스오토텍,자동차 신품 부품 제조업
036560.KQ,영풍정밀,일반 목적용 기계 제조업
080520.KQ,오디텍,반도체 제조업
900180.KQ,완리,기타 금융업
114630.KQ,우노앤컴퍼니,화학섬유 제조업
032820.KQ,우리기술,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
115440.KQ,우리넷,통신 및 방송 장비 제조업
037400.KQ,우리조명,전구 및 조명장치 제조업
008290.KQ,원풍물산,봉제의복 제조업
078070.KQ,유비쿼스홀딩스,기타 금융업
219960.KQ,유안타제2호스팩,금융 지원 서비스업
215090.KQ,유진에이씨피씨스팩2호,금융 지원 서비스업
088390.KQ,이녹스,기타 금융업
054210.KQ,이랜텍,전자부품 제조업
086890.KQ,이수앱지스,의료용품 및 기타 의약 관련제품 제조업
047560.KQ,이스트소프트,소프트웨어 개발 및 공급업
090850.KQ,이지웰페어,소프트웨어 개발 및 공급업
033230.KQ,인성정보,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
017250.KQ,인터엠,영상 및 음향기기 제조업
108790.KQ,인터파크,무점포 소매업
115310.KQ,인포바인,전기 통신업
078940.KQ,일경산업개발,전기 및 통신 공사업
043910.KQ,자연과환경,환경 정화 및 복원업
040420.KQ,정상제이엘에스,일반 교습 학원
045510.KQ,정원엔시스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
095700.KQ,제넥신,자연과학 및 공학 연구개발업
072020.KQ,중앙백신,기초 의약물질 및 생물학적 제제 제조업
000440.KQ,중앙에너비스,기타 전문 도매업
155960.KQ,지디,전자부품 제조업
013720.KQ,청보산업,자동차 신품 부품 제조업
047820.KQ,초록뱀,"영화, 비디오물, 방송프로그램 제작 및 배급업"
094360.KQ,칩스앤미디어,소프트웨어 개발 및 공급업
043290.KQ,케이맥,특수 목적용 기계 제조업
250930.KQ,케이비제10호스팩,금융 지원 서비스업
046070.KQ,코다코,자동차 신품 부품 제조업
069110.KQ,코스온,기타 화학제품 제조업
056360.KQ,코위버,통신 및 방송 장비 제조업
226850.KQ,키움스팩4호,금융 지원 서비스업
065130.KQ,탑엔지니어링,특수 목적용 기계 제조업
123100.KQ,테라세미콘,특수 목적용 기계 제조업
045340.KQ,토탈소프트,소프트웨어 개발 및 공급업
108230.KQ,톱텍,특수 목적용 기계 제조업
130740.KQ,티피씨글로벌,자동차 신품 부품 제조업
049120.KQ,파인디앤씨,전자부품 제조업
222110.KQ,팬젠,의약품 제조업
003670.KQ,포스코켐텍,"시멘트, 석회, 플라스터 및 그 제품 제조업"
141020.KQ,포티스,무점포 소매업
093380.KQ,풍강,기타 금속 가공제품 제조업
032580.KQ,피델릭스,반도체 제조업
054340.KQ,피앤텔,통신 및 방송 장비 제조업
136480.KQ,하림,"도축, 육류 가공 및 저장 처리업"
126700.KQ,하이비젼시스템,사진장비 및 광학기기 제조업
106190.KQ,하이텍팜,기초 의약물질 및 생물학적 제제 제조업
025550.KQ,한국선재,1차 철강 제조업
101680.KQ,한국정밀기계,특수 목적용 기계 제조업
050540.KQ,한국코퍼레이션,기타 사업지원 서비스업
053590.KQ,한국테크놀로지,특수 목적용 기계 제조업
037230.KQ,한국팩키지,"골판지, 종이 상자 및 종이용기 제조업"
024740.KQ,한일단조,자동차 신품 부품 제조업
086960.KQ,한컴MDS,소프트웨어 개발 및 공급업
026180.KQ,현대정보기술,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
126640.KQ,화신정공,자동차 신품 부품 제조업
204630.KQ,화이브라더스코리아,창작 및 예술관련 서비스업
115160.KQ,휴맥스,영상 및 음향기기 제조업
200670.KQ,휴메딕스,의약품 제조업
265520.KQ,AP시스템,특수 목적용 기계 제조업
032040.KQ,C&S자산관리,기타 사업지원 서비스업
130960.KQ,CJ E&M,텔레비전 방송업
083450.KQ,GST,특수 목적용 기계 제조업
036640.KQ,HRS,합성고무 및 플라스틱 물질 제조업
254120.KQ,IBKS제5호스팩,금융 지원 서비스업
095340.KQ,ISC,전자부품 제조업
099520.KQ,ITX엠투엠,영상 및 음향기기 제조업
151860.KQ,KG ETS,폐기물 처리업
053290.KQ,NE능률,"서적, 잡지 및 기타 인쇄물 출판업"
950110.KQ,SBI핀테크솔루션즈,소프트웨어 개발 및 공급업
024910.KQ,경창산업,자동차 신품 부품 제조업
043650.KQ,국순당,알코올음료 제조업
092730.KQ,네오팜,기타 화학제품 제조업
033640.KQ,네패스,반도체 제조업
137940.KQ,넥스트아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
041140.KQ,넥슨지티,소프트웨어 개발 및 공급업
142280.KQ,녹십자엠에스,의료용품 및 기타 의약 관련제품 제조업
012340.KQ,뉴인텍,전자부품 제조업
064260.KQ,다날,소프트웨어 개발 및 공급업
020400.KQ,대동금속,금속 주조업
017650.KQ,대림제지,기타 종이 및 판지 제품 제조업
027830.KQ,대성창투,신탁업 및 집합투자업
104040.KQ,대성파인텍,자동차 신품 부품 제조업
020180.KQ,대신정보통신,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
007680.KQ,대원,건물 건설업
003310.KQ,대주산업,동물용 사료 및 조제식품 제조업
192080.KQ,더블유게임즈,소프트웨어 개발 및 공급업
194480.KQ,데브시스터즈,소프트웨어 개발 및 공급업
086450.KQ,동국제약,의약품 제조업
023790.KQ,동일철강,1차 철강 제조업
078590.KQ,두올산업,자동차 신품 부품 제조업
214680.KQ,디알텍,의료용 기기 제조업
196490.KQ,디에이테크놀로지,특수 목적용 기계 제조업
127120.KQ,디엔에이링크,자연과학 및 공학 연구개발업
039840.KQ,디오,의료용 기기 제조업
079810.KQ,디이엔티,특수 목적용 기계 제조업
050120.KQ,라이브플렉스,생활용품 도매업
141080.KQ,레고켐바이오,자연과학 및 공학 연구개발업
228850.KQ,레이언스,의료용 기기 제조업
197210.KQ,리드,특수 목적용 기계 제조업
131100.KQ,리켐,기초 화학물질 제조업
038290.KQ,마크로젠,"그외 기타 전문, 과학 및 기술 서비스업"
267980.KQ,매일유업,낙농제품 및 식용빙과류 제조업
149940.KQ,모다,통신 및 방송 장비 제조업
239340.KQ,미래에셋제5호스팩,금융 지원 서비스업
201490.KQ,미투온,소프트웨어 개발 및 공급업
084990.KQ,바이로메드,자연과학 및 공학 연구개발업
208710.KQ,바이오로그디바이스,전자부품 제조업
148140.KQ,비디아이,일반 목적용 기계 제조업
138580.KQ,비즈니스온,소프트웨어 개발 및 공급업
054540.KQ,삼영엠텍,"구조용 금속제품, 탱크 및 증기발생기 제조업"
000250.KQ,삼천당제약,의약품 제조업
024950.KQ,삼천리자전거,생활용품 도매업
046390.KQ,삼화네트웍스,"영화, 비디오물, 방송프로그램 제작 및 배급업"
043710.KQ,서울리거,그외 기타 제품 제조업
018680.KQ,서울제약,의약품 제조업
065710.KQ,서호전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
